Count,State
1,MA
1,Ireland Washington
1,
1,NY / Briarcliff Manor NY
1,PQ
1,England / Cottage Grove
4,PA / Cooperstown
1,IL
2,AB
3,PA
1,NJ
1,NY / Washington
1,England / New Durham
1,Co Cork
2,NY
2,MA
1,NY
1,England
2,VT
1,OH
1,OH
1,Co Cork
1,Staffs
2,Ireland New York
1,PA
1,BC
1,NJ
2,England Norfolk
1,Finland Hoboken
1,NY / Greenwich CT
1,Philadelphia
1,Switzerland / Radnor
1,England / Montreal
1,SD
1,MI
2,France
4,India / Benton Harbour
1,NY
1,
1,ON
1,CT
1,IL
2,Philadelphia
5,
1,England / New Britain
1,Philadelphia
2,Cuba
2,MA
2,NY
2,WI
1,
3,NY
1,PA
1,Finland New York
1,PA
1,MA
1,MA
2,CT
4,NY
2,NY / Ithaca
1,MT
1,NY
4,MB
2,PQ
3,CA
2,
2,CA
1,MI
1,NJ
1,KY
1,CT
1,NY
1,
1,Finland New York
1,Sweden Minneapolis
1,PQ
1,WV
1,NY
1,CA
2,Essex / Winnipeg
4,PQ
2,England Ohio
3,Thailand / Roseville
2,NY
2,Hants / Fayette Valley
2,Ireland New York
3,NY
1,Queens
3,Switzerland
1,England
1,NS
1,
1,ON
8,OH
3,NY
3,IL
1,MN / Cedar Rapids
1,Sweden
2,NJ
2,MI
1,Kent / New York
3,England
1,NY
1,Spain
2,DC
5,NY
1,WI
1,VA
1,NY
2,MT
1,Sweden / Washington
1,WI
1,England Cleveland
1,Surrey
1,Yorks
2,MN
2,MA
2,Switzerland
1,NY
1,England
1,England
2,MN
1,Avon / Jacksonville
1,CA
40,NY
2,
1,NH
3,
1,RI
3,England Wichita
1,ND
2,NY /  Stamford CT
1,Peru
1,Sweden / Rockford
1,London
1,DE
1,NY
4,PA
2,France / New York
1,England Newark
2,IN
3,NY
1,Germany
1,
2,NJ
1,NY
2,South Africa / Seattle
1,Surrey / Chicago
1,PQ / Chesterville
1,DC
1,England
3,England
2,OR
1,CA
1,Italy / California
3,OH
1,NY
1,England / Marietta
1,RI
1,CT
4,MO
3,Devon / Detroit
1,NY
153,
1,MA
1,OR
2,Cornwall / Hancock
1,Somerset
1,Co Sligo
1,England / San Diego
1,Japan
1,England / Massachusetts
2,NJ
1,OH
8,France
1,SD
1,CO
1,England Bedford
2,Spain / Havana
3,PA
1,PA
2,Kent
3,NJ
1,Switzerland / Central City
1,MN
1,ND
1,Devon
1,CT
2,MI
1,NY
